timestamp,minutes_to_explosion,zone,h2s_ppm,co_ppm,pressure_kpa,temperature_c,vibration_ms2,hot_work_permit_active,shift_changeover,confined_space_entry,maintenance_crew_count,compound_risk_score,single_sensor_alarm,compound_alarm
2025-01-18 14:24:00,36.0,C,36.09,82.96,812.4,400.6,1.673,1,1,1,6,0.89,0,1
2025-01-18 14:24:30,35.5,C,35.16,84.77,819.4,401.0,1.445,1,1,1,8,0.8921,0,1
2025-01-18 14:25:00,35.0,C,41.43,89.17,774.5,392.9,1.4,1,1,1,6,0.8941,0,1
2025-01-18 14:25:30,34.5,C,37.0,96.34,806.1,398.5,1.618,1,0,1,8,0.8961,0,1
2025-01-18 14:26:00,34.0,C,39.89,101.3,817.5,403.5,1.554,1,0,1,8,0.8981,0,1
2025-01-18 14:26:30,33.5,C,35.93,90.95,816.8,399.1,1.606,1,0,1,7,0.9,0,1
2025-01-18 14:27:00,33.0,C,40.29,104.6,807.5,401.5,1.706,1,0,1,7,0.9019,0,1
2025-01-18 14:27:30,32.5,C,40.35,104.49,806.8,401.7,1.681,1,0,1,8,0.9038,0,1
2025-01-18 14:28:00,32.0,C,43.12,109.94,832.4,390.2,1.727,1,0,1,7,0.9057,0,1
2025-01-18 14:28:30,31.5,C,42.37,108.95,859.8,402.2,1.717,1,0,1,7,0.9075,0,1
2025-01-18 14:29:00,31.0,C,42.39,126.48,852.1,409.1,1.809,1,0,1,8,0.9093,0,1
2025-01-18 14:29:30,30.5,C,41.06,125.95,763.0,401.8,1.817,1,0,1,6,0.9112,0,1
2025-01-18 14:30:00,30.0,C,43.35,129.01,818.1,394.9,1.932,1,0,1,8,0.9129,0,1
2025-01-18 14:30:30,29.5,C,41.8,134.19,803.6,403.8,1.765,1,0,1,6,0.9147,0,1
2025-01-18 14:31:00,29.0,C,44.88,130.8,834.5,395.4,1.773,1,0,1,6,0.9165,0,1
2025-01-18 14:31:30,28.5,C,48.06,138.45,860.8,399.0,1.895,1,0,1,6,0.9182,0,1
2025-01-18 14:32:00,28.0,C,46.57,137.84,810.9,398.6,1.987,1,0,1,6,0.9199,0,1
2025-01-18 14:32:30,27.5,C,44.92,155.28,872.0,414.7,2.111,1,0,1,7,0.9216,0,1
2025-01-18 14:33:00,27.0,C,48.69,145.8,805.3,418.2,1.66,1,0,1,6,0.9233,0,1
2025-01-18 14:33:30,26.5,C,48.74,138.58,853.3,406.8,2.088,1,0,1,6,0.925,0,1
2025-01-18 14:34:00,26.0,C,42.41,146.33,810.4,390.0,1.952,1,0,1,7,0.9266,0,1
2025-01-18 14:34:30,25.5,C,45.5,160.29,850.8,405.1,2.054,1,0,1,6,0.9283,0,1
2025-01-18 14:35:00,25.0,C,47.12,146.17,827.3,417.1,1.932,1,0,1,6,0.9299,0,1
2025-01-18 14:35:30,24.5,C,49.11,158.84,873.1,400.1,2.273,1,0,1,6,0.9315,0,1
2025-01-18 14:36:00,24.0,C,46.87,152.59,839.3,410.6,2.272,1,0,1,8,0.9331,0,1
2025-01-18 14:36:30,23.5,C,51.37,153.75,827.8,399.9,2.516,1,0,1,8,0.9347,1,1
2025-01-18 14:37:00,23.0,C,44.07,164.41,847.7,407.3,2.735,1,0,1,8,0.9363,0,1
2025-01-18 14:37:30,22.5,C,51.27,161.1,837.4,418.6,2.72,1,0,1,7,0.9379,1,1
2025-01-18 14:38:00,22.0,C,50.47,171.46,865.5,414.5,2.621,1,0,1,6,0.9394,1,1
2025-01-18 14:38:30,21.5,C,51.42,151.4,863.0,402.6,2.939,1,0,1,7,0.941,1,1
2025-01-18 14:39:00,21.0,C,49.19,170.73,848.5,414.3,3.202,1,0,1,6,0.9425,0,1
2025-01-18 14:39:30,20.5,C,47.13,173.83,834.0,420.0,3.106,1,0,1,7,0.944,0,1
2025-01-18 14:40:00,20.0,C,53.87,177.06,869.7,408.9,3.582,1,0,1,8,0.9455,1,1
2025-01-18 14:40:30,19.5,C,51.32,195.43,838.3,407.0,3.461,1,0,1,8,0.9471,1,1
2025-01-18 14:41:00,19.0,C,60.18,170.32,890.5,409.6,3.655,1,0,1,7,0.9485,1,1
2025-01-18 14:41:30,18.5,C,61.98,186.82,840.8,420.2,3.726,1,0,1,7,0.95,1,1
2025-01-18 14:42:00,18.0,C,64.6,189.18,855.4,425.8,3.992,1,0,1,7,0.9515,1,1
2025-01-18 14:42:30,17.5,C,71.84,193.52,882.3,423.3,4.371,1,0,1,8,0.953,1,1
2025-01-18 14:43:00,17.0,C,67.48,197.29,848.1,423.6,3.982,1,0,1,7,0.9544,1,1
2025-01-18 14:43:30,16.5,C,78.28,203.61,830.4,420.8,4.567,1,0,1,8,0.9559,1,1
2025-01-18 14:44:00,16.0,C,76.44,205.29,905.1,412.0,4.328,1,0,1,7,0.9573,1,1
2025-01-18 14:44:30,15.5,C,79.23,190.72,869.9,414.5,4.872,1,0,1,8,0.9588,1,1
2025-01-18 14:45:00,15.0,C,82.7,182.22,934.2,412.0,4.468,1,0,1,7,0.9602,1,1
2025-01-18 14:45:30,14.5,C,85.18,213.19,885.6,427.9,5.029,1,0,1,8,0.9616,1,1
2025-01-18 14:46:00,14.0,C,88.14,211.4,852.7,437.7,4.979,1,0,1,8,0.963,1,1
2025-01-18 14:46:30,13.5,C,98.98,209.06,885.9,436.2,5.491,1,0,1,8,0.9644,1,1
2025-01-18 14:47:00,13.0,C,97.09,215.69,883.9,425.8,5.807,1,0,1,7,0.9658,1,1
2025-01-18 14:47:30,12.5,C,100.73,208.65,864.9,423.0,5.773,1,0,1,7,0.9672,1,1
2025-01-18 14:48:00,12.0,C,99.32,218.82,855.5,436.4,6.357,1,0,1,7,0.9686,1,1
2025-01-18 14:48:30,11.5,C,104.49,224.75,878.9,435.9,6.092,1,0,1,8,0.97,1,1
2025-01-18 14:49:00,11.0,C,102.68,232.9,919.4,435.3,6.1,1,0,1,8,0.9714,1,1
2025-01-18 14:49:30,10.5,C,110.93,233.85,855.9,447.9,6.979,1,0,1,7,0.9727,1,1
2025-01-18 14:50:00,10.0,C,112.48,237.36,865.0,438.1,6.157,1,0,1,8,0.9741,1,1
2025-01-18 14:50:30,9.5,C,128.95,253.2,930.1,420.8,6.18,1,0,1,7,0.9754,1,1
2025-01-18 14:51:00,9.0,C,113.25,240.22,910.7,430.7,6.951,1,0,1,8,0.9768,1,1
2025-01-18 14:51:30,8.5,C,118.31,213.91,902.6,426.5,6.782,1,0,1,7,0.9781,1,1
2025-01-18 14:52:00,8.0,C,130.13,233.57,908.1,429.2,6.625,1,0,1,8,0.9794,1,1
2025-01-18 14:52:30,7.5,C,133.99,233.37,921.8,429.7,7.623,1,0,1,8,0.9808,1,1
2025-01-18 14:53:00,7.0,C,137.03,232.65,927.2,425.8,7.391,1,0,1,7,0.9821,1,1
2025-01-18 14:53:30,6.5,C,139.38,262.72,920.4,421.1,7.596,1,0,1,8,0.9834,1,1
2025-01-18 14:54:00,6.0,C,136.6,237.04,903.2,432.7,7.805,1,0,1,8,0.9847,1,1
2025-01-18 14:54:30,5.5,C,155.73,244.92,879.4,429.6,7.731,1,0,1,8,0.986,1,1
2025-01-18 14:55:00,5.0,C,143.14,264.94,896.5,443.8,7.937,1,0,1,7,0.9873,1,1
2025-01-18 14:55:30,4.5,C,144.72,263.92,946.5,436.6,8.686,1,0,1,8,0.9886,1,1
2025-01-18 14:56:00,4.0,C,168.89,256.01,899.3,447.3,8.09,1,0,1,7,0.9899,1,1
2025-01-18 14:56:30,3.5,C,169.3,256.24,981.2,427.2,8.235,1,0,1,7,0.9912,1,1
2025-01-18 14:57:00,3.0,C,152.09,247.42,913.4,441.5,8.495,1,0,1,8,0.9924,1,1
2025-01-18 14:57:30,2.5,C,173.14,268.61,919.8,450.8,8.57,1,0,1,7,0.9937,1,1
2025-01-18 14:58:00,2.0,C,164.54,272.59,907.1,440.0,9.239,1,0,1,8,0.995,1,1
2025-01-18 14:58:30,1.5,C,179.23,280.97,925.6,434.3,8.882,1,0,1,7,0.9962,1,1
2025-01-18 14:59:00,1.0,C,174.97,261.48,936.1,439.5,8.787,1,0,1,7,0.9975,1,1
2025-01-18 14:59:30,0.5,C,171.86,259.8,889.6,450.0,9.247,1,0,1,7,0.9988,1,1
